cell_id,lat_min,lat_max,lon_min,lon_max,centroid_lat,centroid_lon,d_road,d_water,d_settlement,d_forest,forest_cover,agricultural_exposure,elevation,slope,historical_conflict_density,target,spatial_cluster
0,11.5,11.52,75.8,75.82,11.51,75.81,25.441409261803845,17.12317833151203,13.158030201159212,1.5568156705479517,55.55555555555556,5.4366862349417655,753.5026530359569,5.920802794113016,1.406842140348425e-23,0,0
1,11.5,11.52,75.82,75.83999999999999,11.51,75.83,23.272566090367896,15.675898499515911,11.803931906801196,3.4527707584971146,100.0,0.0,810.9019741204793,45.0,3.084446506510375e-21,0,0
2,11.5,11.52,75.83999999999999,75.85999999999999,11.51,75.85,21.10583460587169,14.413821129861743,10.72504111832048,4.447797065782426,100.0,0.0,781.2522930562852,12.872005005156357,6.6145852616596085e-18,0,0
3,11.5,11.52,75.85999999999999,75.87999999999998,11.51,75.86999999999999,18.941939489756702,13.389420217034289,10.010736959946025,4.670528225672354,100.0,0.0,761.0759933804659,45.0,7.770695544842901e-15,0,0
4,11.5,11.52,75.87999999999998,75.89999999999998,11.51,75.88999999999999,16.781977968082295,12.381945741154285,9.741552802683549,3.5093031634685645,100.0,0.0,838.8029183525484,22.11024315228076,4.9607796443911015e-12,0,0
5,11.5,11.52,75.89999999999998,75.91999999999997,11.51,75.90999999999998,14.627692690519716,11.589828466902915,9.95366749466716,3.5093031634668423,100.0,0.0,903.9752347602804,42.23211140664626,1.2429816248058103e-09,0,0
6,11.5,11.52,75.91999999999997,75.93999999999997,11.51,75.92999999999998,12.48202302288093,11.172729999721389,10.618276282974328,2.44644007899732,66.66666666666666,6.12336294057339,866.1213480041462,35.71979203775607,8.90795245646451e-07,0,0
7,11.5,11.52,75.93999999999997,75.95999999999997,11.51,75.94999999999997,10.350328530548136,11.172729999720982,10.350328530548136,1.1119492664455182,11.11111111111111,6.9794155591816605,845.7934835664227,45.0,0.000139595509072,0,0
8,11.5,11.52,75.95999999999997,75.97999999999996,11.51,75.96999999999997,8.243457983420921,11.589828466901745,8.243457983420921,2.446440078991147,0.0,7.483700923332172,955.9271373718894,19.833662119365798,0.00061754646298,0,0
9,11.5,11.52,75.97999999999996,75.99999999999996,11.51,75.98999999999997,6.186824341825533,12.381945741152457,6.186824341825533,4.49788647076707,0.0,0.0,1121.6830697781686,32.61880910438268,0.0024577113559,0,0
10,11.5,11.52,75.99999999999996,76.01999999999995,11.51,76.00999999999996,4.2539262535987765,13.483147439958698,4.2539262535987765,6.631302438693477,0.0,0.0,1286.9209007421416,45.0,0.0126602136922397,1,0
11,11.5,11.52,76.01999999999995,76.03999999999995,11.51,76.02999999999996,2.722476634585951,14.82471508681705,2.722476634585951,8.787185950766306,0.0,0.0,1543.8943414572034,45.0,0.0302842503210064,1,0
12,11.5,11.52,76.03999999999995,76.05999999999995,11.51,76.04999999999995,2.4949482665895544,16.347578343714815,2.4949482665895544,10.952277262845614,0.0,0.0,1886.23475934678,41.56789396818672,0.0333659160750315,1,0
13,11.5,11.52,76.05999999999995,76.07999999999994,11.51,76.06999999999995,3.8124207608946334,16.344923637483003,3.8124207608946334,13.122019385470356,0.0,0.0,2093.948029226548,35.3593864619122,0.016931657415311,1,0
14,11.5,11.52,76.07999999999994,76.09999999999994,11.51,76.08999999999995,5.686935431399687,14.90166942749678,5.686935431399687,15.294433079095564,0.0,0.0,2033.4570379996007,37.16181579388912,0.0039573648082523,0,0
15,11.5,11.52,76.09999999999994,76.11999999999993,11.51,76.10999999999994,7.723005528603444,13.65492705231893,7.723005528603444,17.468521640863482,0.0,0.0,1827.8858780197288,45.0,0.0004260130474545,0,0
16,11.5,11.52,76.11999999999993,76.13999999999993,11.51,76.12999999999994,9.820656358266604,12.66287377030681,9.820656358266604,19.643728966922044,0.0,0.0,1601.778414727199,45.0,2.1122723610553664e-05,0,3
